Date : 2021-11-27 14:23:43
Directory : /Users/carltonaikins/Desktop/Home/Programming/projects/elisha
Total : 136 files,  6411 codes, 292 comments, 1148 blanks, all 7851 lines

Languages
+------------------+------------+------------+------------+------------+------------+
| language         | files      | code       | comment    | blank      | total      |
+------------------+------------+------------+------------+------------+------------+
| Dart             |         61 |      3,918 |         10 |        537 |      4,465 |
| Go               |         32 |      1,098 |          1 |        400 |      1,499 |
| Markdown         |          6 |        345 |          0 |         35 |        380 |
| SQL              |          1 |        327 |         90 |         60 |        477 |
| JSON             |          5 |        257 |          0 |          4 |        261 |
| XML              |         12 |        157 |         37 |          7 |        201 |
| YAML             |          6 |        117 |        141 |         46 |        304 |
| Groovy           |          3 |         89 |          3 |         20 |        112 |
| Makefile         |          1 |         30 |          0 |          8 |         38 |
| Python           |          1 |         26 |          8 |         13 |         47 |
| Swift            |          1 |         14 |          0 |          2 |         16 |
| Docker           |          2 |         13 |          0 |          8 |         21 |
| Properties       |          2 |          8 |          1 |          2 |         11 |
| Go Checksum File |          1 |          6 |          0 |          1 |          7 |
| Shell Script     |          1 |          5 |          1 |          4 |         10 |
| C++              |          1 |          1 |          0 |          1 |          2 |
+------------------+------------+------------+------------+------------+------------+

Directories
+--------------------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                                                                                   | files      | code       | comment    | blank      | total      |
+--------------------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                                                                                      |        136 |      6,411 |        292 |      1,148 |      7,851 |
| .vscodecounter                                                                                                                                         |          4 |        332 |          0 |         26 |        358 |
| .vscodecounter/2021-08-11_09-46-50                                                                                                                     |          2 |        123 |          0 |         13 |        136 |
| .vscodecounter/2021-08-12_21-48-15                                                                                                                     |          2 |        209 |          0 |         13 |        222 |
| android                                                                                                                                                |         15 |        226 |         39 |         25 |        290 |
| android/app                                                                                                                                            |         11 |        181 |         38 |         14 |        233 |
| android/app/src                                                                                                                                        |          9 |         82 |         35 |          3 |        120 |
| android/app/src/debug                                                                                                                                  |          1 |          4 |          3 |          1 |          8 |
| android/app/src/main                                                                                                                                   |          7 |         74 |         29 |          1 |        104 |
| android/app/src/main/res                                                                                                                               |          6 |         44 |         18 |          0 |         62 |
| android/app/src/main/res/drawable                                                                                                                      |          1 |          6 |          0 |          0 |          6 |
| android/app/src/main/res/drawable-night                                                                                                                |          1 |          6 |          0 |          0 |          6 |
| android/app/src/main/res/drawable-night-v21                                                                                                            |          1 |          6 |          0 |          0 |          6 |
| android/app/src/main/res/drawable-v21                                                                                                                  |          1 |          6 |          0 |          0 |          6 |
| android/app/src/main/res/values                                                                                                                        |          1 |         10 |          9 |          0 |         19 |
| android/app/src/main/res/values-night                                                                                                                  |          1 |         10 |          9 |          0 |         19 |
